,title,author,release year,synopsis,book length,rating,number of ratings
46,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,2021,,,4.07,255193
47,Persuasion (Paperback),Jane Austen,1817,,,4.15,620545
48,Emma (Paperback),Jane Austen,1815,"An alternative cover of this ISBN can be found here.Emma Woodhouse is one of Austen's most captivating and vivid characters. Beautiful, spoilt, vain and irrepressibly witty, Emma organizes the lives of the inhabitants of her sleepy little village and plays matchmaker with devastating effect.",474,4.04,784651
49,The Song of Achilles (Paperback),Madeline Miller,2011,,,4.38,950167
50,"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,2020,"Talia Hibbert returns with another charming romantic comedy about a young woman who agrees to fake date her friend after a video of him “rescuing” her from their office building goes viral...Danika Brown knows what she wants: professional success, academic renown, and an occasional roll in the hay to relieve all that career-driven tension. But romance? Been there, done tha",400,4.06,75803
51,"An Offer From a Gentleman (Bridgertons, #3)",Julia Quinn,2001,,,3.95,192481
52,The Night Circus (Hardcover),Erin Morgenstern,2011,"The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. But behind the scenes, a fierce competition is underway—a duel between two young magic",387,4.03,849454
53,Love and Other Words (Hardcover),Christina Lauren,2018,"
The story of the heart can never be unwritten.
Macy Sorensen is settling into an ambitious if emotionally tepid routine: work hard as a new pediatrics resident, plan her wedding to an older, financially secure man, keep her head down and heart tucked away.But when she runs into Elliot Petropoulos—the first and only love of her life—the careful bubble she’s constructed b",432,4.35,215451
54,"Everything, Everything (Hardcover)",Nicola Yoon,2015,"My disease is as rare as it is famous. It’s a form of Severe Combined Immunodeficiency, but basically, I’m allergic to the world. I don’t leave my house, have not left my house in fifteen years. The only people I ever see are my mom and my nurse, Carla.But then one day, a moving truck arrives. New next door neighbors. I look out the window, and I see him. He’s tall, lean a",312,4.0,539107
55,"Hopeless (Hopeless, #1)",Colleen Hoover,2012,,,4.29,383899
56,The Wall of Winnipeg and Me (Kindle Edition),Mariana Zapata,2016,Vanessa Mazur knows she's doing the right thing. She shouldn't feel bad for quitting. Being an assistant/housekeeper/fairy godmother to the top defensive end in the National Football Organization was always supposed to be temporary. She has plans and none of them include washing extra-large underwear longer than necessary.But when Aiden Graves shows up at her door wanting ,537,4.27,181562
57,"Bared to You (Crossfire, #1)",Sylvia Day,2012,"From #1 New York Times bestselling author Sylvia Day comes the provocative masterstroke of abandon and obsession that redefined the meaning of desire and became a global phenomenon...Gideon Cross came into my life like lightning in the darkness. He was beautiful and brilliant, jagged and white-hot. I was drawn to him as I'd never been to anything or anyone in my life. I cr",352,4.16,498707
58,November 9 (Paperback),Colleen Hoover,2015,,,4.29,532191
59,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,2015,"Lara Jean didn’t expect to really fall for Peter.They were just pretending. Until they weren’t. And now Lara Jean has to learn what it's like to be in a real relationship and not just a make-believe one.But when another boy from her past returns to her life, Lara Jean’s feelings for him suddenly return too. Can a girl be in love with two boys at once?In this charming and h",337,4.05,321648
60,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007,,,4.08,1860270
61,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,2017,,,4.43,655054
62,"The Wedding Date (The Wedding Date, #1)",Jasmine Guillory,2018,,,3.6,124943
63,Josh and Hazel's Guide to Not Dating (Paperback),Christina Lauren,2018,"Hazel Camille Bradford knows she’s a lot to take—and frankly, most men aren’t up to the challenge. If her army of pets and thrill for the absurd don’t send them running, her lack of filter means she’ll say exactly the wrong thing in a delicate moment. Their loss. She’s a good soul in search of honest fun.Josh Im has known Hazel since college, where her zany playfulness pro",309,4.01,117753
64,"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn,2002,,,3.96,188360
65,"Divergent (Divergent, #1)",Veronica Roth,2011,,,4.16,3540949
66,The Soulmate Equation (Paperback),Christina Lauren,2021,"Single mom Jess Davis is a data and statistics wizard, but no amount of number crunching can convince her to step back into the dating world. After all, her father was never around, her hard-partying mother disappeared when she was six, and her ex decided he wasn’t “father material” before her daughter was even born. Jess holds her loved ones close but working constantly t",416,4.04,136796
67,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,2015,,,4.2,389450
68,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008,,,4.32,7591926
69,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,2005,,,4.16,320970
70,"The Bromance Book Club (Bromance Book Club, #1)",Lyssa Kay Adams,2019,,,3.91,77742
71,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,2012,"Dante can swim. Ari can't. Dante is articulate and self-assured. Ari has a hard time with words and suffers from self-doubt. Dante gets lost in poetry and art. Ari gets lost in thoughts of his older brother who is in prison. Dante is fair skinned. Ari's features are much darker. It seems that a boy like Dante, with his open and unique perspective on life, would be the last",359,4.34,476866
72,"Maybe Someday (Maybe, #1)",Colleen Hoover,2014,,,4.16,295662
73,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,2019,,,4.6,316062
74,"Wallbanger (Cocktail, #1)",Alice Clayton,2012,"The first night after Caroline moves into her fantastic new San Francisco apartment, she realizes she's gaining an intimate knowledge of her new neighbor's nocturnal adventures. Thanks to paper-thin walls and the guy's athletic prowess, she can hear not just his bed banging against the wall but the ecstatic response of what seems (as loud night after loud night goes by) li",384,4.01,198768
75,Punk 57 (Kindle Edition),Penelope Douglas,2016,"""We were perfect together. Until we met."" MishaI can’t help but smile at the words in her letter. She misses me.In fifth grade, my teacher set us up with pen pals from a different school. Thinking I was a girl, with a name like Misha, the other teacher paired me up with her student, Ryen. My teacher, believing Ryen was a boy like me, agreed.It didn’t take long for us to fi",343,3.85,262165
76,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,2013,,,4.02,516559
77,"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,2021,"In Act Your Age, Eve Brown the flightiest Brown sister crashes into the life of an uptight B&B owner and has him falling hard—literally.Eve Brown is a certified hot mess. No matter how hard she strives to do right, her life always goes horribly wrong—so she’s given up trying. But when her personal brand of chaos ruins an expensive wedding (someone had to liberate those poo",400,4.16,64493
78,Archer's Voice (ebook),Mia Sheridan,2014,"When Bree Prescott arrives in the sleepy, lakeside town of Pelion, Maine, she hopes against hope that this is the place where she will finally find the peace she so desperately seeks. On her first day there, her life collides with Archer Hale, an isolated man who holds a secret agony of his own. A man no one else sees.Archer's Voice is the story of a woman chained to the m",345,4.33,183482
79,The Sun Is Also a Star (Hardcover),Nicola Yoon,2016,Natasha: I’m a girl who believes in science and facts. Not fate. Not destiny. Or dreams that will never come true. I’m definitely not the kind of girl who meets a cute boy on a crowded New York City street and falls in love with him. Not when my family is twelve hours away from being deported to Jamaica. Falling in love with him won’t be my story.Daniel: I’ve always been t,384,4.01,281659
80,"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,2021,,,4.01,82190
81,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012,,,4.13,831959
82,"To Sir Phillip, With Love (Bridgertons, #5)",Julia Quinn,2003,,,3.76,140654
83,"If I Stay (If I Stay, #1)",Gayle Forman,2009,"In the blink of an eye everything changes. Seventeen ­year-old Mia has no memory of the accident; she can only recall what happened afterwards, watching her own damaged body being taken from the wreck. Little by little she struggles to put together the pieces- to figure out what she has lost, what she has left, and the very difficult choice she must make. Heartwrenchingly ",201,3.93,826176
84,"The Summer I Turned Pretty (Summer, #1)",Jenny Han,2009,"Belly measures her life in summers. Everything good, everything magical happens between the months of June and August. Winters are simply a time to count the weeks until the next summer, a place away from the beach house, away from Susannah, and most importantly, away from Jeremiah and Conrad. They are the boys that Belly has known since her very first summer—they have bee",276,3.84,396929
85,"The Mistake (Off-Campus, #2)",Elle Kennedy,2015,,,4.05,225576
86,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,2007,"Call Me by Your Name is the story of a sudden and powerful romance that blossoms between an adolescent boy and a summer guest at his parents' cliff-side mansion on the Italian Riviera. Unprepared for the consequences of their attraction, at first each feigns indifference. But during the restless summer weeks that follow, unrelenting buried currents of obsession and fear, f",248,4.13,389241
87,"Well Met (Well Met, #1)",Jen DeLuca,2019,,,3.85,58786
88,The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,2020,"France, 1714: in a moment of desperation, a young woman makes a Faustian bargain to live forever and is cursed to be forgotten by everyone she meets.Thus begins the extraordinary life of Addie LaRue, and a dazzling adventure that will play out across centuries and continents, across history and art, as a young woman learns how far she will go to leave her mark on the world",444,4.22,686794
89,You Deserve Each Other (Kindle Edition),Sarah Hogle,2020,,,3.95,77084
90,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,2020,"A Maiden…Chosen from birth to usher in a new era, Poppy’s life has never been her own. The life of the Maiden is solitary. Never to be touched. Never to be looked upon. Never to be spoken to. Never to experience pleasure. Waiting for the day of her Ascension, she would rather be with the guards, fighting back the evil that took her family, than preparing to be found worthy",622,4.29,325849
91,Confess (Paperback),Colleen Hoover,2015,"Auburn Reed is determined to rebuild her shattered life and she has no room for mistakes. But when she walks into a Dallas art studio in search of a job, she doesn’t expect to become deeply attracted to the studio’s enigmatic artist, Owen Gentry.For once, Auburn takes a chance and puts her heart in control, only to discover that Owen is hiding a huge secret. The magnitude ",320,4.2,273781
92,Dear John (Hardcover),Nicholas Sparks,2006,,,4.04,577789
93,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,2020,"In this volume we’ll see the Heartstopper gang go on a school trip to Paris! Not only are Nick and Charlie navigating a new city, but also telling more people about their relationship AND learning more about the challenges each other are facing in private…Meanwhile Tao and Elle will face their feelings for each other, Tara and Darcy share more about their relationship orig",384,4.63,273686
94,The Princess Bride (Paperback),William Goldman,1973,"What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitat",456,4.26,852415
95,"Bringing Down the Duke (A League of Extraordinary Women, #1)",Evie Dunmore,2019,"England, 1879. Annabelle Archer, the brilliant but destitute daughter of a country vicar, has earned herself a place among the first cohort of female students at the renowned University of Oxford. In return for her scholarship, she must support the rising women's suffrage movement. Her charge: recruit men of influence to champion their cause. Her target: Sebastian Devereux",335,3.97,63015
96,Verity (Paperback),Colleen Hoover,2018,,,4.42,1214264
97,Attachments (Hardcover),Rainbow Rowell,2011,,,3.88,190317
98,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,1992,An alternate cover edition can be found here.From the author of Outlander... a magnificent epic that once again sweeps us back in time to the drama and passion of 18th-century Scotland...For twenty years Claire Randall has kept her secrets. But now she is returning with her grown daughter to Scotland's majestic mist-shrouded hills. Here Claire plans to reveal a truth as st,947,4.33,327326
99,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,2011,"I have a curseI have a giftI am a monsterI'm more than humanMy touch is lethalMy touch is powerI am their weaponI will fight backJuliette hasn't touched anyone in exactly 264 days.The last time she did, it was an accident, but The Reestablishment locked her up for murder. No one knows why Juliette's touch is fatal. As long as she doesn't hurt anyone else, no one really car",338,3.9,517418
100,From Lukov with Love (Paperback),Mariana Zapata,2018,"If someone were to ask Jasmine Santos to describe the last few years of her life with a single word, it would definitely be a four-letter one.After seventeen years—and countless broken bones and broken promises—she knows her window to compete in figure skating is coming to a close.But when the offer of a lifetime comes in from an arrogant idiot she’s spent the last decade ",493,4.34,144173
101,Normal People (Hardcover),Sally Rooney,2018,"At school Connell and Marianne pretend not to know each other. He’s popular and well-adjusted, star of the school soccer team while she is lonely, proud, and intensely private. But when Connell comes to pick his mother up from her housekeeping job at Marianne’s house, a strange and indelible connection grows between the two teenagers - one they are determined to conceal.A ",273,3.83,948855
102,"Easy (Contours of the Heart, #1)",Tammara Webber,2012,,,4.08,225554
103,"On Dublin Street (On Dublin Street, #1)",Samantha Young,2012,"Jocelyn Butler has been hiding from her past for years. But all her secrets are about to be laid bare ...Four years ago, Jocelyn left her tragic past behind in the States and started over in Scotland, burying her grief, ignoring her demons, and forging ahead without attachments. Her solitary life is working well - until she moves into a new apartment on Dublin Street, wher",372,4.18,189455
104,"Fix Her Up (Hot & Hammered, #1)",Tessa Bailey,2019,"A brand new romantic comedy from New York Times bestseller Tessa Bailey!Georgette Castle’s family runs the best home renovation business in town, but she picked balloons instead of blueprints and they haven’t taken her seriously since. Frankly, she’s over it. Georgie loves planning children’s birthday parties and making people laugh, just not at her own expense. She’s dete",400,3.65,93869
105,"When He Was Wicked (Bridgertons, #6)",Julia Quinn,2004,,,4.01,124412
106,One Day in December (Paperback),Josie Silver,2018,"Two people. Ten chances. One unforgettable love story.Laurie is pretty sure love at first sight doesn't exist anywhere but the movies. But then, through a misted-up bus window one snowy December day, she sees a man who she knows instantly is the one. Their eyes meet, there's a moment of pure magic... and then her bus drives away.Certain they're fated to find each other aga",393,3.89,239627
107,"Slammed (Slammed, #1)",Colleen Hoover,2012,,,4.22,254688
108,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009,"Sparks are igniting.Flames are spreading.And the Capitol wants revenge. Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Ga",391,4.3,3064538
109,"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,2008,"A fresh, urban twist on the classic tale of star-crossed lovers.When Brittany Ellis walks into chemistry class on the first day of senior year, she has no clue that her carefully created 'perfect' life is about to unravel before her eyes. She's forced to be lab partners with Alex Fuentes, a gang member from the other side of town, and he is about to threaten everything she",368,4.05,255549
110,"Matched (Matched, #1)",Ally Condie,2010,"In the Society, officials decide. Who you love. Where you work. When you die.Cassia has always trusted their choices. It’s hardly any price to pay for a long life, the perfect job, the ideal mate. So when her best friend appears on the Matching screen, Cassia knows with complete certainty that he is the one…until she sees another face flash for an instant before the screen",369,3.63,732124
111,The Last Song (Hardcover),Nicholas Sparks,2008,,,4.15,536546
112,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,2009,,,3.94,660659
113,All the Bright Places (Hardcover),Jennifer Niven,2015,,,4.14,471843
114,"The Score (Off-Campus, #3)",Elle Kennedy,2016,"He knows how to score, on and off the iceAllie Hayes is in crisis mode. With graduation looming, she still doesn’t have the first clue about what she’s going to do after college. To make matters worse, she’s nursing a broken heart thanks to the end of her longtime relationship. Wild rebound sex is definitely not the solution to her problems, but gorgeous hockey star Dean D",361,4.21,195637
115,"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,2017,"Lara Jean is having the best senior year.And there’s still so much to look forward to: a class trip to New York City, prom with her boyfriend Peter, Beach Week after graduation, and her dad’s wedding to Ms. Rothschild. Then she’ll be off to college with Peter, at a school close enough for her to come home and bake chocolate chip cookies on the weekends.Life couldn’t be mor",325,4.04,215156
116,"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,2013,,,3.89,430349
117,"Devil in Winter (Wallflowers, #3)",Lisa Kleypas,2006,"
A devil's bargain.
Desperate to escape her scheming relatives, Evangeline Jenner has sought the help of the most infamous scoundrel in London. A marriage of convenience is the only solution.No one would have ever paired the shy, stammering wallflower with the sinfully handsome viscount. It quickly becomes clear, however, that Evie is a woman of hidden strength—and Sebas",368,4.24,77013
118,Gone with the Wind (Mass Market Paperback),Margaret Mitchell,1936,"Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.",1037,4.3,1160178
119,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,2011,,,3.99,352283
120,Looking for Alaska (Paperback),John Green,2005,,,3.98,1408442
121,"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,2022,,,4.05,151160
122,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,2008,"Also see: Alternate Cover Editions for this ISBN [ACE]  
ACE #1
Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mea",453,4.13,865831
123,"A Discovery of Witches (All Souls, #1)",Deborah Harkness,2011,,,4.01,445677
124,"The Duchess Deal (Girl Meets Duke, #1)",Tessa Dare,2017,"
When girl meets Duke, their marriage breaks all the rules…
Since his return from war, the Duke of Ashbury’s to-do list has been short and anything but sweet: brooding, glowering, menacing London ne’er-do-wells by night. Now there’s a new item on the list. He needs an heir—which means he needs a wife. When Emma Gladstone, a vicar’s daughter turned seamstress, appears in ",389,4.0,48340
125,"Delirium (Delirium, #1)",Lauren Oliver,2011,,,3.96,451316
126,"Beautiful Bastard (Beautiful Bastard, #1)",Christina Lauren,2013,,,3.96,187771
127,"The Host (The Host, #1)",Stephenie Meyer,2008,,,3.85,963467
128,The Great Gatsby (Paperback),F. Scott Fitzgerald,1925,,,3.93,4594799
129,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,2009,"For years, Grace has watched the wolves in the woods behind her house. One yellow-eyed wolf—her wolf—is a chilling presence she can't seem to live without.Meanwhile, Sam has lived two lives: In winter, the frozen woods, the protection of the pack, and the silent company of a fearless girl. In summer, a few precious months of being human… until the cold makes him shift back",392,3.76,465220
130,All Your Perfects (Paperback),Colleen Hoover,2018,,,4.23,282321
131,Reminders of Him (Kindle Edition),Colleen Hoover,2022,,,4.52,523841
132,"The Ex Hex (The Ex Hex, #1)",Erin Sterling,2021,"New York Times bestselling author Rachel Hawkins, writing as Erin Sterling, casts a spell with a spine-tingling romance full of wishes, witches, and hexes gone wrong.Nine years ago, Vivienne Jones nursed her broken heart like any young witch would: vodka, weepy music, bubble baths…and a curse on the horrible boyfriend. Sure, Vivi knows she shouldn’t use her magic this way,",308,3.55,93853
